Registered Number,Registered Email ID,Payment date,Sale by,Grade,Pricing,Sessions preferred,Live session details
911100222909,s2m_test_21933@tests2m.com,27-03-2020 12:00:00 AM,SP_1001,1,999,,
911100222953,s2m_test_21978@tests2m.com,27-03-2020 12:00:00 AM,,2,199,,
911100222954,s2m_test_21979@tests2m.com,27-03-2020 12:00:00 AM,,4,199,,
911100222939,s2m_test_21963@tests2m.com,27-03-2020 12:00:00 AM,,2,199,,
911100221297,s2m_test_20297@tests2m.com,27-03-2020 12:00:00 AM,SP_1005,4,999,,Live - Upsell (Larger plan)
911100222955,s2m_test_21980@tests2m.com,28-03-2020 12:00:00 AM,,2,199,,
911100222956,s2m_test_21981@tests2m.com,28-03-2020 12:00:00 AM,,5,199,,
911100222957,s2m_test_21982@tests2m.com,28-03-2020 12:00:00 AM,,1,199,,
911100222958,s2m_test_21983@tests2m.com,28-03-2020 12:00:00 AM,,1,199,,
911100222958,s2m_test_21983@tests2m.com,28-03-2020 12:00:00 AM,,1,199,,
911100222959,s2m_test_21984@tests2m.com,28-03-2020 12:00:00 AM,,UKG,199,,
911100222960,s2m_test_21985@tests2m.com,28-03-2020 12:00:00 AM,,3,199,,
911100222961,s2m_test_21986@tests2m.com,28-03-2020 12:00:00 AM,,2,199,,
911100222962,s2m_test_21987@tests2m.com,28-03-2020 12:00:00 AM,,5,199,,
911100222959,s2m_test_21984@tests2m.com,28-03-2020 12:00:00 AM,,UKG,199,,
911100222924,s2m_test_21948@tests2m.com,28-03-2020 12:00:00 AM,,1,199,,
911100222963,s2m_test_21988@tests2m.com,28-03-2020 12:00:00 AM,,1,199,,
911100222964,s2m_test_21989@tests2m.com,29-03-2020 12:00:00 AM,,4,199,,
911100222965,s2m_test_21990@tests2m.com,29-03-2020 12:00:00 AM,,UKG,199,,
911100222966,s2m_test_21991@tests2m.com,29-03-2020 12:00:00 AM,,1,199,,
911100221021,s2m_test_20022@tests2m.com,29-03-2020 12:00:00 AM,,2,199,,
911100222920,s2m_test_21944@tests2m.com,29-03-2020 12:00:00 AM,SP_1005,6,999,,Live - Upsell (Larger plan)
911100222967,s2m_test_21992@tests2m.com,29-03-2020 12:00:00 AM,SP_1007,2,1999,"Nivaan batch
SCJ/13042020/Batch 2",Live - Upsell (Larger plan)
911100222968,s2m_test_21993@tests2m.com,29-03-2020 12:00:00 AM,,8,199,,
911100222969,s2m_test_21994@tests2m.com,29-03-2020 12:00:00 AM,,2,199,,
911100222970,s2m_test_21995@tests2m.com,29-03-2020 12:00:00 AM,,1,199,,
911100222971,s2m_test_21996@tests2m.com,30-03-2020 12:00:00 AM,,5,199,,
911100221396,s2m_test_20399@tests2m.com,30-03-2020 12:00:00 AM,,2,199,,
911100222972,,29-03-2020 12:00:00 AM,SP_1005,3,2000,,Live - Upsell (Larger plan)
911100222973,,29-03-2020 12:00:00 AM,SP_1005,2,1999,,Live - Upsell (Larger plan)
911100222974,s2m_test_21997@tests2m.com,31-03-2020 7:26:00 AM,,3,199,,
911100222975,,31-03-2020 7:26:00 AM,SP_1001,3,1999,New Spring Camp Batch,Live - Upsell (Larger plan)
911100222976,s2m_test_21998@tests2m.com,31-03-2020 12:00:00 AM,,2,199,,
911100222977,s2m_test_21999@tests2m.com,31-03-2020 7:26:00 AM,SP_1005,3,999,New Spring Camp Batch,Live - Upsell (Larger plan)
911100222978,s2m_test_22000@tests2m.com,31-03-2020 12:00:00 AM,,4,199,,
911100222979,s2m_test_22001@tests2m.com,31-03-2020 12:00:00 AM,,2,199,,
911100222980,s2m_test_22002@tests2m.com,31-03-2020 12:00:00 AM,,7,199,,
911100222981,s2m_test_22003@tests2m.com,31-03-2020 7:26:00 AM,SP_1005,4,1999,New Spring Camp Batch,Live - Upsell (Larger plan)
911100222982,s2m_test_22004@tests2m.com,31-03-2020 7:26:00 AM,SP_1005,Kg,999,New Spring Camp Batch,Live - Upsell (Larger plan)
911100222983,s2m_test_22005@tests2m.com,1/4/20 0:00,,4,199,,
911100222984,s2m_test_22006@tests2m.com,1/4/20 0:00,SP_1005,1,1999,New Spring Camp Batch,Live - Upsell (Larger plan)
911100222985,s2m_test_22007@tests2m.com,1/4/20 0:00,,KG,199,,
911100222986,s2m_test_22008@tests2m.com,2/4/20 10:47,,5,199,,
911100222987,s2m_test_22009@tests2m.com,2/4/20 12:22,SP_1001,4,1999,SCS/13042020/Batch 3,Live - Upsell (Larger plan)
911100222988,s2m_test_21894@tests2m.com,2/4/20 12:36,SP_1005,1,1999,Mon & Thur at 10AM,Live - Upsell (Larger plan)
911100222989,s2m_test_22010@tests2m.com,2/4/20 14:12,SP_1005,4,999,4/7/2020 16:00:00 ASSIGNED,Live - Upsell (Larger plan)
911100222990,s2m_test_22011@tests2m.com,2/4/20 15:51,SP_1008,3,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100222970,s2m_test_21995@tests2m.com,2/4/20 17:42,SP_1001,1,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100222991,s2m_test_22012@tests2m.com,2/4/20 20:10,SP_1005,4,999,4/7/20 16:00,Live - Upsell (Larger plan)
911100222992,s2m_test_22013@tests2m.com,2/4/20 20:54,,SKG,199,,
911100222993,s2m_test_22014@tests2m.com,2/4/20 21:17,SP_1001,1,1999,"Tue 7 Apr 10 am (Grade 12)
 prefer alternate days (yet to get back)",Live - Upsell (Larger plan)
911100222994,s2m_test_22015@tests2m.com,2/4/20 21:53,SP_1001,4,999,"Tue 7 Apr 4 Pm (Grade 3,4)",Live - Upsell (Larger plan)
911100222995,s2m_test_22016@tests2m.com,3/4/20 0:00,,2,199,,
911100222996,s2m_test_22017@tests2m.com,3/4/20 0:00,,B1,199,,
911100222997,s2m_test_22018@tests2m.com,3/4/20 0:00,SP_1005,4,1999,4/7/20 16:00,Live - Upsell (Larger plan)
911100222998,s2m_test_22019@tests2m.com,2/4/20 21:56,,KG,199,,
911100222967,s2m_test_22020@tests2m.com,4/4/20 11:35,SP_1007,4,1999,"Vanya batch
SCS/13042020/Batch 52",Live - Upsell (Larger plan)
911100222999,s2m_test_22021@tests2m.com,4/4/20 12:09,SP_1007,4,1999,"
SCS/20042020/Batch 52",Live - Upsell (Larger plan)
911100223000,s2m_test_22022@tests2m.com,4/4/20 12:27,SP_1007,4,1999,"Nivaan batch
SCJ/13042020/Batch 2",Live - Upsell (Larger plan)
911100222783,s2m_test_21807@tests2m.com,4/4/20 13:26,SP_1005,2,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100223001,s2m_test_22023@tests2m.com,4/4/20 15:00,SP_1005,1,1999,4/7/20 16:00,Live - Upsell (Larger plan)
911100223002,s2m_test_22024@tests2m.com,4/4/20 16:19,,2,199,,
911100223003,s2m_test_22025@tests2m.com,4/4/20 18:04,SP_1008,2,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100223004,s2m_test_22026@tests2m.com,4/4/20 18:45,SP_1005,4,1999,4/7/20 16:00,Live - Upsell (Larger plan)
911100223005,s2m_test_22027@tests2m.com,4/4/20 19:21,,3,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100223006,s2m_test_22028@tests2m.com,4/4/20 19:37,SP_1005,1,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100223007,,4/4/20 19:37,SP_1001,1,1999,4/7/20 16:00,Live - Upsell (Larger plan)
911100222978,s2m_test_22000@tests2m.com,4/4/20 20:45,SP_1005,4,999,4/7/20 16:00,Live - Upsell (Larger plan)
911100223008,s2m_test_22029@tests2m.com,4/4/20 20:50,,PP2,199,,
911100223009,s2m_test_22030@tests2m.com,4/4/20 21:01,SP_1007,5,1999,"Vanya batch
SCS/13042020/Batch 52",Live - Upsell (Larger plan)
911100223010,s2m_test_22031@tests2m.com,4/4/20 21:57,,4,199,,
911100223011,s2m_test_20227@tests2m.com,4/4/20 22:36,SP_1007,4,1999,"Vanya batch
SCS/13042020/Batch 52",Live - Upsell (Larger plan)
911100223012,s2m_test_22032@tests2m.com,5/4/20 10:08,,2,199,,
911100223013,s2m_test_22033@tests2m.com,5/4/20 12:28,SP_1001,1,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100223014,s2m_test_22034@tests2m.com,5/4/20 13:18,SP_1009,3,1999,4/7/20 16:00,Live - Upsell (Larger plan)
911100223015,s2m_test_22035@tests2m.com,5/4/20 13:51,SP_1005,1,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100223016,s2m_test_22036@tests2m.com,5/4/20 16:04,SP_1008,4,1999,SCS/13042020/Batch 3,Live - Upsell (Larger plan)
911100223017,s2m_test_22037@tests2m.com,5/4/20 17:39,SP_1007,4,1999,"Vanya batch
SCS/13042020/Batch 52",Live - Upsell (Larger plan)
911100223018,s2m_test_22038@tests2m.com,5/4/20 17:39,SP_1005,2,1999,4/7/20 10:00,Live - Upsell (Larger plan)
911100222964,s2m_test_21989@tests2m.com,5/4/20 19:08,SP_1005,4,999,4/7/20 16:00,Live - Upsell (Larger plan)
911100223019,s2m_test_22039@tests2m.com,6/4/20 8:04,,2,199,,
911100223020,s2m_test_22040@tests2m.com,6/4/20 10:15,SP_1005,4,999,SCS/13042020/Batch 2,Live - Upsell (Larger plan)
911100223021,s2m_test_22041@tests2m.com,6/4/20 13:17,SP_1008,5,999,SCS/13042020/Batch 3,Live - Upsell (Larger plan)
911100223021,s2m_test_22041@tests2m.com,6/4/20 13:20,SP_1008,2,1999,SCJ/13042020/Batch 1,Live - Upsell (Larger plan)
911100223022,s2m_test_22042@tests2m.com,6/4/20 13:48,SP_1008,1,999,SCJ/13042020/Batch 1,Live - Upsell (Larger plan)
911100223023,s2m_test_22043@tests2m.com,6/4/20 20:01,SP_1008,3,999,SCS/13042020/Batch 3,Live - Upsell (Larger plan)
911100223024,s2m_test_22044@tests2m.com,6/4/20 22:11,,1,199,,
911100222471,s2m_test_21486@tests2m.com,6/4/20 23:22,SP_1005,3,999,4/7/20 16:00,Live - Upsell (Larger plan)
911100223025,s2m_test_22045@tests2m.com,6/4/20 23:34,SP_1005,4,1999,SCS/13042020/Batch 2,Live - Upsell (Larger plan)
911100223026,,5/4/20 19:08,SP_1001,2,999,4/7/20 16:00,Live - Upsell (Larger plan)
911100223027,,5/4/20 19:08,SP_1001,2,999,SCS/13042020/Batch 2,Live - Upsell (Larger plan)
911100223028,s2m_test_22046@tests2m.com,7/4/20 10:05,SP_1007,2,1999,"Nivaan batch
SCJ/13042020/Batch 2",Live - Upsell (Larger plan)
911100223029,s2m_test_22047@tests2m.com,7/4/20 16:36,,2,1999,SCJ/13042020/Batch 1,Live - Upsell (Larger plan)
911100223030,s2m_test_22048@tests2m.com,7/4/20 17:35,SP_1005,3,1999,SCS/13042020/Batch 2,Live - Upsell (Larger plan)
911100223031,s2m_test_22049@tests2m.com,7/4/20 17:47,SP_1009,2,1999,SCJ/13042020/Batch 3,Live - Upsell (Larger plan)
911100223032,s2m_test_22050@tests2m.com,7/4/20 18:12,SP_1005,2,1999,SCJ/13042020/Batch 1,Live - Upsell (Larger plan)
911100223033,s2m_test_22051@tests2m.com,7/4/20 20:01,,KG,199,,
911100223034,s2m_test_22052@tests2m.com,7/4/20 20:01,SP_1008,2,1999,SCJ/13042020/Batch 3,Live - Upsell (Larger plan)
911100223035,s2m_test_22053@tests2m.com,7/4/20 21:49,SP_1009,4,1999,SCS/13042020/Batch 1,Live - Upsell (Larger plan)
911100223036,s2m_test_22054@tests2m.com,7/4/20 23:16,SP_1005,4,1999,SCS/13042020/Batch 2,Live - Upsell (Larger plan)
911100223037,,7/4/20 23:16,SP_1005,3,999,SCS/13042020/Batch 2,Live - Upsell (Larger plan)
911100222977,s2m_test_21999@tests2m.com,8/4/20 12:03,SP_1005,3,1999,SCS/13042020/Batch 3,Live - Upsell (Larger plan)
911100223038,s2m_test_22055@tests2m.com,8/4/20 13:09,SP_1005,4,1999,SCS/13042020/Batch 2,Live - Upsell (Larger plan)
911100223039,s2m_test_22056@tests2m.com,8/4/20 13:25,,4,199,,
911100222931,s2m_test_22057@tests2m.com,8/4/20 14:02,SP_1006,Nursery,699,,
911100223040,s2m_test_22058@tests2m.com,8/4/20 14:55,SP_1005,3,1999,SCS/13042020/Batch 1,Live - Upsell (Larger plan)
911100223041,s2m_test_22059@tests2m.com,8/4/20 16:05,SP_1005,3,999,SCS/13042020/Batch 1,Live - Upsell (Larger plan)
911100222734,s2m_test_21753@tests2m.com,8/4/20 16:44,SP_1007,4,1999,SCS/13042020/Batch 52,Live - Upsell (Larger plan)
911100223042,s2m_test_22060@tests2m.com,8/4/20 17:01,SP_1007,3,999,SCS/13042020/Batch 1,Live - Upsell (Larger plan)
911100223043,s2m_test_22061@tests2m.com,8/4/20 20:27,SP_1001,3,1999,SCS/13042020/Batch 3,Live - Upsell (Larger plan)
911100223044,s2m_test_22062@tests2m.com,8/4/20 20:53,,UKG,199,,
911100223045,s2m_test_22063@tests2m.com,8/4/20 21:05,SP_1005,4,1999,SCS/13042020/Batch 53b,Live - Upsell (Larger plan)
911100223046,s2m_test_22064@tests2m.com,8/4/20 21:28,SP_1001,1,999,SCJ/13042020/Batch 3,Live - Upsell (Larger plan)
911100223047,s2m_test_22065@tests2m.com,9/4/20 0:14,,1,199,,
911100223048,,8/4/20 21:28,SP_1001,1,1999,SCJ/13042020/Batch 3,Live - Upsell (Larger plan)
911100222451,s2m_test_21465@tests2m.com,9/4/20 12:53,,1,199,,
911100223049,s2m_test_22066@tests2m.com,9/4/20 15:11,SP_1005,4,1999,SCS/13042020/Batch 3,Live - Upsell (Larger plan)
911100223050,s2m_test_22067@tests2m.com,9/4/20 15:58,SP_1009,4,1999,SCS/13042020/Batch 1,Live - Upsell (Larger plan)
911100223051,s2m_test_22068@tests2m.com,9/4/20 17:38,,2,199,,
911100223052,s2m_test_22069@tests2m.com,9/4/20 18:47,SP_1010,4,1999,SCS/13042020/Batch 53,Live - Upsell (Larger plan)
911100223053,s2m_test_22070@tests2m.com,9/4/20 20:25,,4,199,,
911100223054,s2m_test_22071@tests2m.com,9/4/20 22:01,SP_1001,3,999,SCS/13042020/Batch 1,Live - Upsell (Larger plan)
911100223055,,10/4/20 0:00,SP_1001,2,999,SCJ/13042020/Batch 1,Live - Upsell (Larger plan)
911100223056,,10/4/20 0:00,SP_1001,1,999,SCJ/13042020/Batch 2,Live - Upsell (Larger plan)
911100223057,s2m_test_22072@tests2m.com,10/4/20 18:25,,2,199,,
911100222877,s2m_test_21901@tests2m.com,10/4/20 19:54,SP_1001,2,999,SCJ/13042020/Batch 3,Live - Upsell (Larger plan)
911100223058,s2m_test_22073@tests2m.com,10/4/20 21:18,SP_1001,3,1999,SCS/13042020/Batch 53,Live - Upsell (Larger plan)
911100223059,s2m_test_22074@tests2m.com,10/4/20 21:47,SP_1005,2,1999,SCJ/13042020/Batch 52,Live - Upsell (Larger plan)
911100223060,s2m_test_22075@tests2m.com,10/4/20 23:57,,2,1999,SCJ/13042020/Batch 1,Live - Upsell (Larger plan)
911100223061,s2m_test_22076@tests2m.com,11/4/20 12:34,SP_1001,2,1999,SCJ/13042020/Batch 1,Live - Upsell (Larger plan)
911100223062,s2m_test_22077@tests2m.com,11/4/20 14:05,SP_1008,3,1999,SCS/13042020/Batch 1,Live - Upsell (Larger plan)
911100223063,s2m_test_22078@tests2m.com,11/4/20 14:40,SP_1008,4,999,SCS/13042020/Batch 53,Live - Upsell (Larger plan)
911100222650,s2m_test_22079@tests2m.com,11/4/20 16:11,,4,199,,
911100222665,s2m_test_21682@tests2m.com,11/4/20 16:56,SP_1001,1,999,SCJ/13042020/Batch 2,Live - Upsell (Larger plan)
911100223064,,11/4/20 16:56,SP_1001,4,1999,SCS/13042020/Batch 52,Live - Upsell (Larger plan)
911100223065,s2m_test_22080@tests2m.com,11/4/20 18:25,,2,1999,SCJ/13042020/Batch 2,Live - Upsell (Larger plan)
911100223066,s2m_test_22081@tests2m.com,11/4/20 19:36,SP_1008,3,1999,SCS/13042020/Batch 53,Live - Upsell (Larger plan)
911100223067,s2m_test_22082@tests2m.com,11/4/20 20:14,SP_1005,3,1999,SCS/13042020/Batch 53b,Live - Upsell (Larger plan)
911100223068,s2m_test_22083@tests2m.com,11/4/20 22:06,,3,199,,
911100223069,s2m_test_22084@tests2m.com,12/4/20 0:35,,Kg,199,,
911100221015,s2m_test_20016@tests2m.com,12/4/20 1:22,SP_1005,2,1999,SCJ/20042020/Batch53,Live - Upsell (Larger plan)
911100222976,s2m_test_21998@tests2m.com,12/4/20 8:50,SP_1010,2,1999,SCJ/13042020/Batch 52,Live - Upsell (Larger plan)
911100223070,s2m_test_22085@tests2m.com,12/4/20 9:10,SP_1010,2,1999,Refunded,Live - Upsell (Larger plan)
911100223071,s2m_test_22086@tests2m.com,12/4/20 12:59,SP_1005,2,1999,SCJ/13042020/Batch 52,Live - Upsell (Larger plan)
911100223072,s2m_test_22087@tests2m.com,12/4/20 13:38,SP_1005,4,1999,SCS/13042020/Batch 53b,Live - Upsell (Larger plan)
911100223074,s2m_test_22089@tests2m.com,12/4/20 15:35,SP_1001,4,1999,SCS/13042020/Batch 53,Live - Upsell (Larger plan)
911100223075,s2m_test_22090@tests2m.com,12/4/20 15:54,,4,199,0.5,
911100223076,s2m_test_22091@tests2m.com,12/4/20 16:10,,2,399,1,
911100223077,s2m_test_22092@tests2m.com,12/4/20 16:50,SP_1009,4,1999,SCS/13042020/Batch 51,Live - Upsell (Larger plan)
911100222467,s2m_test_21482@tests2m.com,12/4/20 18:41,,2,199,,
