911100221411,s2m_test_20414@tests2m.com,DPS e City Bangalore,Grade 4,rfmsms,4/17/20 14:21
911100221413,s2m_test_20416@tests2m.com,BVBARRS,Grade 2,rfmsms,4/17/20 14:26
911100221426,s2m_test_20430@tests2m.com,Suchitra Academy,Grade 3,rfmsms,4/17/20 14:49
911100221434,s2m_test_20438@tests2m.com,Mahatma school akkama building (CBSE),Grade 3,rfmsms,4/17/20 15:02
911100221434,s2m_test_20438@tests2m.com,Mahatma school akkama building,Grade 3,rfmsms,4/17/20 15:06
911100221451,s2m_test_20455@tests2m.com,SBOA School & Junior College,Grade 3,T1KRMSMS,4/17/20 16:00
911100221462,s2m_test_20466@tests2m.com,Harvest International School,Grade 2,rfmsms,4/17/20 16:41
911100221478,s2m_test_20482@tests2m.com,Greenwood High school,Grade 4,TEB3SMS,4/18/20 3:33
911100221503,s2m_test_20507@tests2m.com,delhi public school,Grade 1,TEB3SMS,4/18/20 3:53
911100221506,s2m_test_20510@tests2m.com,Vedanta Academy,Grade 2,TEB3SMS,4/18/20 3:54
911100221524,s2m_test_20528@tests2m.com,Gowtham Model School,Grade 2,TEB3SMS,4/18/20 4:05
911100221527,s2m_test_20531@tests2m.com,Delhi Public School,Grade 2,T1KRMSMS,4/18/20 4:15
911100221554,s2m_test_20558@tests2m.com,Kamala nikten,Grade 4,TEB3SMS,4/18/20 4:57
911100221564,s2m_test_20568@tests2m.com,NSN Memorial,Grade 3,TEB3SMS,4/18/20 5:20
911100221566,s2m_test_20570@tests2m.com,SBOA SCHOOL & JR COLLEGE,Grade 3,T1KRMSMS,4/18/20 5:20
911100221579,s2m_test_20582@tests2m.com,Bharatiya Vidya Bhavans Atmakuri Rama Rao School,Grade 2,ntfuiuser,4/18/20 5:56
911100221592,s2m_test_20596@tests2m.com,Sushmitha Venkatesan,Grade 2,rfmsms,4/18/20 6:51
911100221616,s2m_test_20619@tests2m.com,Sishya omr,Grade 2,TEB3SMS,4/18/20 8:25
911100221641,s2m_test_20647@tests2m.com,WOI,Grade 4,rfmsms,4/18/20 11:43
911100221651,s2m_test_20658@tests2m.com,DPS MEGACITY,Grade 4,T1KRMSMS,4/18/20 12:53
911100221656,s2m_test_20664@tests2m.com,DPS MEGACITY,Grade 3,ntfuiuser,4/18/20 13:46
911100221661,s2m_test_20670@tests2m.com,1st class,Grade 1,rfmsms,4/18/20 15:03
911100221727,s2m_test_20737@tests2m.com,Dav girls senior secondary school,Grade 2,TEB4SMS,4/20/20 4:31
911100221730,s2m_test_20740@tests2m.com,Kamala Niketan Montessori school,Grade 2,TEB4SMS,4/20/20 4:34
911100221802,s2m_test_20814@tests2m.com,Maple tree,Grade 4,TEB4SMS,4/20/20 11:57
911100221817,s2m_test_20829@tests2m.com,P.s.senior secondary school,Grade 4,rfmsms,4/20/20 16:01
911100221835,s2m_test_20849@tests2m.com,"Delhi World Public School, zirakpur",Grade 3,TEB4SMS,4/21/20 15:24
911100221839,s2m_test_20853@tests2m.com,Delhi public school junior,Grade 1,TEB5SMS,4/22/20 3:33
911100221895,s2m_test_20909@tests2m.com,Delhi Public School- Bangalore South,Grade 4,TEB5SMS,4/22/20 4:15
911100221817,s2m_test_20829@tests2m.com,Ps senior secondary school,Grade 4,rfmsms,4/22/20 4:49
911100221947,s2m_test_20960@tests2m.com,Kamala niketan,Grade 4,b1rmsms,4/22/20 5:37
911100221948,s2m_test_20961@tests2m.com,The Sri Ram Universal School,Grade 1,TEB5SMS,4/22/20 5:37
911100221994,s2m_test_21005@tests2m.com,DAV,Grade 1,TEB5SMS,4/22/20 6:12
911100222012,s2m_test_21022@tests2m.com,SAIS,Grade 2,TEB5SMS,4/22/20 6:36
911100222033,s2m_test_21043@tests2m.com,Delhi Public School - North,Grade 1,TEB5SMS,4/22/20 7:22
911100222054,s2m_test_21064@tests2m.com,Sri Aurobindo international school,Grade 4,TEB5SMS,4/22/20 8:24
911100222070,s2m_test_21079@tests2m.com,Edify  school,Grade 2,b1rmsms,4/22/20 9:59
911100221178,s2m_test_20179@tests2m.com,Aholong Jessie Anar,Grade 4,b1rmsms,4/22/20 10:00
911100222074,s2m_test_21083@tests2m.com,Delhi public school Electronic City,Grade 1,TEB5SMS,4/22/20 10:49
911100222080,s2m_test_21089@tests2m.com,DPS,Grade 3,b1rmsms,4/22/20 11:34
911100221839,s2m_test_20853@tests2m.com,Delhi public school,Grade 1,TEB5SMS,4/22/20 12:32
911100221178,s2m_test_20179@tests2m.com,Aholong Jessie Anar,Grade 4,b1rmsms,4/23/20 11:40
911100222012,s2m_test_21188@tests2m.com,SAIS hyd,Grade 4,b2rmsms,4/24/20 9:40
911100222224,s2m_test_21237@tests2m.com,Kamala niketan Montessori school (CBSE),Grade 2,b2rmsms,4/24/20 12:20
911100222236,s2m_test_21249@tests2m.com,Delhi Public School,Grade 3,b2rmsms,4/24/20 14:31
911100222288,s2m_test_21301@tests2m.com,Manav Rachna international school,Grade 4,adarsh,4/25/20 6:10
911100222391,s2m_test_21404@tests2m.com,Dse,Grade 4,b3rmsms,4/26/20 17:47
