fREADom Trial,Grades 1-2,[I],4:00 pm,April 19,Grade 1,911100221127,s2m_test_20128@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],4:00 pm,April 19,Grade 3,911100221451,s2m_test_20455@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],4:00 pm,April 19,Grade 4,911100221651,s2m_test_20658@tests2m.com,Present
fREADom Trial,Grades 3-4,[I],6:15 pm,April 19,Grade 4,911100221641,s2m_test_20647@tests2m.com,Present
fREADom Trial,Grades 1-2,[I],6:15 pm,April 19,Grade 1,911100221503,s2m_test_20507@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],6:15 pm,April 19,Grade 2,911100221579,s2m_test_20582@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],11:45 am,April 20,Grade 3,911100221564,s2m_test_20568@tests2m.com,Present
fREADom Trial,Grades 3-4,[I],11:45 am,April 20,Grade 3,911100221566,s2m_test_20570@tests2m.com,Present
fREADom Trial,Grades 3-4,[IV],11:45 am,April 20,Grade 4,911100221165,s2m_test_20166@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],11:45 am,April 20,Grade 2,911100221524,s2m_test_20528@tests2m.com,Absent
fREADom Trial,Grades 1-2,[II],11:45 am,April 20,Grade 2,911100221727,s2m_test_20737@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],6:00 pm,April 20,Grade 2,911100221506,s2m_test_20510@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],6:00 pm,April 20,Grade 2,911100221527,s2m_test_20531@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],11:45 am,April 21,Grade 4,911100221817,s2m_test_20829@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],6:00 pm,April 21,Grade 4,911100221802,s2m_test_20814@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],6:00 pm,April 21,Grade 2,911100221730,s2m_test_20740@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],6:00 pm,April 22,Grade 4,911100222054,s2m_test_21064@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],6:00 pm,April 22,Grade 1,911100222033,s2m_test_21043@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],6:00 pm,April 22,Grade 1,911100221948,s2m_test_20961@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],6:00 pm,April 22,Grade 4,911100221895,s2m_test_21782@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],6:00 pm,April 22,Grade 4,911100221178,s2m_test_20179@tests2m.com,Absent
fREADom Trial,Grades 1-2,[III],6:00 pm,April 22,Grade 1,911100222074,s2m_test_21083@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],6:00 pm,April 22,Grade 3,911100222080,s2m_test_21089@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],6:00 pm,April 22,Grade 2,911100222070,s2m_test_21079@tests2m.com,Present
fREADom Trial,Grades 1-2,[I],11:45 am,April 23,Grade 2,911100222012,s2m_test_21022@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],11:45 am,April 23,Grade 1,911100221994,s2m_test_21005@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],11:45 am,April 23,Grade 4,911100221554,s2m_test_20558@tests2m.com,
fREADom Trial,Grades 1-2,[II],6:00 pm,April 23,Grade 1,911100221839,s2m_test_20853@tests2m.com,Present
fREADom Trial,Grades 3-4,[III],6:00 pm,April 23,Grade 4,911100221947,s2m_test_20960@tests2m.com,Present
fREADom Trial,Grades 1-2,[III],6:00 pm,April 23,Grade 2,911100221592,s2m_test_21790@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],6:00 pm,April 24,Grade 2,911100221616,s2m_test_20619@tests2m.com,Cancelled
fREADom Trial,Grades 1-2,[I],11:45 am,April 25,Grade 2,911100222224,s2m_test_21237@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],11:45 am,April 25,Grade 3,911100222236,s2m_test_21249@tests2m.com,Present
fREADom Trial,Grades 3-4,[I],4:00 pm,April 25,Grade 4,911100222288,s2m_test_21301@tests2m.com,Present
fREADom Trial,Grades 1-2,[II],11:45 am,April 26,Grade 1,911100221661,s2m_test_20670@tests2m.com,Present
fREADom Trial,Grades 3-4,[I],11:45 am,April 26,Grade 3,911100221835,s2m_test_20849@tests2m.com,Present
fREADom Trial,Grades 3-4,[II],11:45 am,April 27,Grade 4,911100222391,s2m_test_21404@tests2m.com,Present
