phone,email_id,school,grade,source,Submitted At
911100221043,s2m_test_20044@tests2m.com,Dps panvel,Grade 3,TEB12SMS,4/16/20 10:38
911100221044,s2m_test_20045@tests2m.com,Maple tree school,Grade 3,TEB11SMS,4/16/20 10:38
911100221038,s2m_test_20039@tests2m.com,S Siddarth,Grade 1,TEB12SMS,4/16/20 10:38
911100221045,s2m_test_20046@tests2m.com,Mahavir Institute of Education & Research,Grade 4,TEB12SMS,4/16/20 10:39
911100221046,s2m_test_20047@tests2m.com,DWPS Zirakpur,Grade 2,TEB11SMS,4/16/20 10:39
911100221047,s2m_test_20048@tests2m.com,BDM International School,Grade 4,TEB11SMS,4/16/20 10:39
911100221048,s2m_test_20049@tests2m.com,DPS megacity,Grade 2,TEB12SMS,4/16/20 10:39
911100221049,s2m_test_20050@tests2m.com,Kamala Niketan Montessori School,Grade 4,TEB11SMS,4/16/20 10:40
911100221050,s2m_test_20051@tests2m.com,City Montessori school,Grade 3,TEB11SMS,4/16/20 10:40
911100221051,s2m_test_20052@tests2m.com,Kamala niketan cbse school,Grade 2,TEB11SMS,4/16/20 10:40
911100221052,s2m_test_20053@tests2m.com,Dps,Grade 2,TEB11SMS,4/16/20 10:41
911100221040,s2m_test_20041@tests2m.com,Kamala niketan,Grade 4,TEB11SMS,4/16/20 10:41
911100221018,s2m_test_20019@tests2m.com,Aakruthi school,Grade 4,TEB11SMS,4/16/20 10:41
911100221053,s2m_test_20054@tests2m.com,Sri Aurobindo International School,Grade 3,TEB11SMS,4/16/20 10:41
911100221054,s2m_test_20055@tests2m.com,B D Memorial,Grade 4,TEB12SMS,4/16/20 10:41
911100221055,s2m_test_20056@tests2m.com,SBOAJC,Grade 3,TEB12SMS,4/16/20 10:41
911100221056,s2m_test_20057@tests2m.com,Indus Valley World School,Grade 4,TEB12SMS,4/16/20 10:42
911100221057,s2m_test_20058@tests2m.com,The Orchid School,Grade 4,TEB12SMS,4/16/20 10:43
911100221058,s2m_test_20059@tests2m.com,Tcis,Grade 1,TEB11SMS,4/16/20 10:44
911100221059,s2m_test_20060@tests2m.com,kulachi hansraj ashok vihar,Grade 1,TEB12SMS,4/16/20 10:44
911100221060,s2m_test_20061@tests2m.com,Kamala niketan Montessori school,Grade 4,TEB12SMS,4/16/20 10:44
911100221061,s2m_test_20062@tests2m.com,Kamala Niketen,Grade 3,TEB12SMS,4/16/20 10:45
911100221062,s2m_test_20063@tests2m.com,"Don Bosco school, siliguri",Grade 1,TEB11SMS,4/16/20 10:45
911100221063,s2m_test_20064@tests2m.com,BDMI,Grade 4,TEB11SMS,4/16/20 10:45
911100221064,s2m_test_20065@tests2m.com,SKCH,Grade 1,TEB11SMS,4/16/20 10:47
911100221040,s2m_test_20041@tests2m.com,Kamala niketan,Grade 4,TEB11SMS,4/16/20 10:47
911100221065,s2m_test_20066@tests2m.com,MAHATMA CBSE,Grade 2,TEB11SMS,4/16/20 10:48
911100221066,s2m_test_20067@tests2m.com,KLEs C B Ranamode school Athani,Grade 3,lastchance,4/16/20 10:48
911100221067,s2m_test_20068@tests2m.com,"Don Bosco School , Siliguri",Grade 3,TEB12SMS,4/16/20 10:49
911100221068,s2m_test_20069@tests2m.com,The Samhita Academy,Grade 2,TEB12SMS,4/16/20 10:50
911100221069,s2m_test_20070@tests2m.com,SSRVM J.P. Nagar,Grade 4,TEB11SMS,4/16/20 10:55
911100221070,s2m_test_20071@tests2m.com,Delhi public school,Grade 4,TEB11SMS,4/16/20 10:58
911100221071,s2m_test_20072@tests2m.com,DAV MATRIC GILL NAGAR,Grade 1,TEB11SMS,4/16/20 10:58
911100221072,s2m_test_20073@tests2m.com,CMS,Grade 3,TEB12SMS,4/16/20 11:00
911100221073,s2m_test_20074@tests2m.com,GIIS,Grade 3,TEB11SMS,4/16/20 11:00
911100221074,s2m_test_20075@tests2m.com,KAMALA NIKETAN MONTESSORI SCHOOL,Grade 4,TEB11SMS,4/16/20 11:01
911100221075,s2m_test_20076@tests2m.com,KAMALA NIKETAN MONTESSORI SCHOOL (CBSE),Grade 4,TEB11SMS,4/16/20 11:03
911100221076,s2m_test_20077@tests2m.com,Delhi public school (panvel),Grade 3,TEB11SMS,4/16/20 11:05
911100221077,s2m_test_20078@tests2m.com,Brilliant  national school,Grade 3,TEB11SMS,4/16/20 11:05
911100221078,s2m_test_20079@tests2m.com,Cross wordschool,Grade 3,TEB11SMS,4/16/20 11:06
911100221034,s2m_test_20080@tests2m.com,DSE,Grade 4,TEB11SMS,4/16/20 11:08
911100221079,s2m_test_20081@tests2m.com,P s senior secondary school,Grade 3,TEB12SMS,4/16/20 11:09
911100221076,s2m_test_20077@tests2m.com,Delhi public school (panvel),Grade 4,TEB11SMS,4/16/20 11:11
911100221080,s2m_test_20082@tests2m.com,Samasthi International School,Grade 3,TEB11SMS,4/16/20 11:11
911100221081,s2m_test_20083@tests2m.com,Mahatma CBSE,Grade 3,TEB11SMS,4/16/20 11:12
911100221082,s2m_test_20084@tests2m.com,NSN GROUP OF  SCHOOL S,Grade 3,TEB12SMS,4/16/20 11:14
911100221078,s2m_test_20079@tests2m.com,The cross word school,Grade 3,TEB11SMS,4/16/20 11:16
911100221083,s2m_test_20085@tests2m.com,DPS MEGACITY,Grade 3,TEB12SMS,4/16/20 11:24
911100221084,s2m_test_20086@tests2m.com,KLE English medium school Manjunath Nagar hubli,Grade 4,lastchance,4/16/20 11:24
911100221084,s2m_test_20086@tests2m.com,KLE English medium school Manjunath Nagar hubli,Grade 4,lastchance,4/16/20 11:26
911100221085,s2m_test_20087@tests2m.com,MSN memoriel,Grade 3,TEB11SMS,4/16/20 11:32
911100221086,s2m_test_20088@tests2m.com,Amrit,Grade 1,TEB12SMS,4/16/20 11:33
911100221087,s2m_test_20089@tests2m.com,Children's academy,Grade 3,TEB11SMS,4/16/20 11:34
911100221088,s2m_test_20090@tests2m.com,NSN Memorial,Grade 2,TEB12SMS,4/16/20 11:36
911100221089,s2m_test_20091@tests2m.com,NSN,Grade 2,TEB11SMS,4/16/20 11:39
911100221090,s2m_test_20092@tests2m.com,Nsn memorial school,Grade 3,TEB11SMS,4/16/20 11:40
911100221091,s2m_test_20093@tests2m.com,NSN,Grade 4,TEB11SMS,4/16/20 11:47
911100221092,s2m_test_20094@tests2m.com,Kamala Niketan Montessori,Grade 3,TEB12SMS,4/16/20 11:56
911100221093,s2m_test_20095@tests2m.com,Heritage,Grade 4,TEB11SMS,4/16/20 12:00
911100221094,s2m_test_20096@tests2m.com,Kamala nikedan montessori school,Grade 3,TEB12SMS,4/16/20 12:02
911100221095,s2m_test_20097@tests2m.com,Kle school Manjunath nagar,Grade 3,lastchance,4/16/20 12:02
911100221096,s2m_test_20098@tests2m.com,Mahatma  Gandhi Centenary Vidhyalaya,Grade 3,TEB12SMS,4/16/20 12:09
911100221097,s2m_test_20099@tests2m.com,Sri Kumarans children's home,Grade 2,TEB11SMS,4/16/20 12:09
911100221098,s2m_test_20100@tests2m.com,Kle society school,Grade 4,TEB12SMS,4/16/20 12:14
911100221099,s2m_test_20101@tests2m.com,KLE society. School. Saundatti,Grade 4,TEB12SMS,4/16/20 12:14
911100221100,s2m_test_20102@tests2m.com,Ibrahim,Grade 1,TEB12SMS,4/16/20 12:20
911100221101,s2m_test_20103@tests2m.com,B.D.M,Grade 4,TEB12SMS,4/16/20 12:25
911100221102,s2m_test_20104@tests2m.com,Zohaib Malik,Grade 4,TEB11SMS,4/16/20 12:25
911100221103,s2m_test_20105@tests2m.com,Kamala Niketan Montessori School,Grade 4,TEB12SMS,4/16/20 12:30
911100221104,s2m_test_20106@tests2m.com,Delhi Public School Bangalore South,Grade 4,TEB11SMS,4/16/20 12:30
911100221105,s2m_test_20107@tests2m.com,KLE SOCIETY SCHOOL SAUNDATTI,Grade 4,TEB12SMS,4/16/20 12:31
911100221106,s2m_test_20108@tests2m.com,SBIOA School Trichy,Grade 3,TEB11SMS,4/16/20 12:45
911100221107,s2m_test_20109@tests2m.com,Mahavir Institute of Education and Research,Grade 1,TEB11SMS,4/16/20 12:46
911100221108,s2m_test_20108@tests2m.com,SBIOA School Trichy,Grade 2,TEB11SMS,4/16/20 12:48
911100221109,s2m_test_20110@tests2m.com,"RFSMM, Lodhivali",Grade 2,TEB12SMS,4/16/20 12:51
911100221110,s2m_test_20111@tests2m.com,Kamala Niketan Montessori School,Grade 2,TEB11SMS,4/16/20 12:51
911100221111,s2m_test_20112@tests2m.com,Sri Aurabindo International School,Grade 3,TEB12SMS,4/16/20 12:52
911100221112,s2m_test_20113@tests2m.com,DPS Warangal,Grade 4,TEB12SMS,4/16/20 13:02
911100221113,s2m_test_20114@tests2m.com,Delhi Public School Howrah,Grade 3,TEB11SMS,4/16/20 13:02
911100221114,s2m_test_20115@tests2m.com,Maria's Public School,Grade 4,TEB11SMS,4/16/20 13:04
911100221115,s2m_test_20116@tests2m.com,D.A.V BHEL  SCHOOL  RANIPET,Grade 2,TEB12SMS,4/16/20 13:20
911100221116,s2m_test_20117@tests2m.com,SSRVM,Grade 1,TEB11SMS,4/16/20 13:25
911100221117,s2m_test_20118@tests2m.com,NSN MEMORIAL SCHOOL,Grade 2,TEB12SMS,4/16/20 13:25
911100221118,s2m_test_20119@tests2m.com,City Montessori school,Grade 4,TEB11SMS,4/16/20 13:26
911100221119,s2m_test_20120@tests2m.com,srr school,Grade 4,TEB12SMS,4/16/20 13:29
911100221120,s2m_test_20121@tests2m.com,Shanthala vidyapeetha,Grade 2,TEB12SMS,4/16/20 13:30
911100221121,s2m_test_20122@tests2m.com,Braintree international school,Grade 4,TEB11SMS,4/16/20 13:35
911100221122,s2m_test_20123@tests2m.com,Kumarans,Grade 1,TEB11SMS,4/16/20 13:41
911100221123,s2m_test_20124@tests2m.com,B.D.MEMORIAL,Grade 4,TEB11SMS,4/16/20 13:42
911100221124,s2m_test_20125@tests2m.com,Sri kumarans children's home,Grade 1,TEB12SMS,4/16/20 13:53
911100221125,s2m_test_20126@tests2m.com,Kulachi hansraj model school,Grade 2,TEB11SMS,4/16/20 14:02
911100221126,s2m_test_20127@tests2m.com,Hamdard public school,Grade 2,ntfpush,4/16/20 14:02
911100221127,s2m_test_20128@tests2m.com,Angel Global school,Grade 1,ntfpush,4/16/20 14:02
911100221128,s2m_test_20129@tests2m.com,B D Memorial,Grade 4,TEB11SMS,4/16/20 14:04
911100221129,s2m_test_20130@tests2m.com,Al BUROOJ INTERNATIONAL SCHOOL,Grade 3,ntfpush,4/16/20 14:04
911100221130,s2m_test_20131@tests2m.com,Mayor world school,Grade 4,TEB11SMS,4/16/20 14:05
911100221131,s2m_test_20132@tests2m.com,Kerela public school gamharia,Grade 1,ntfpush,4/16/20 14:06
911100221132,s2m_test_20133@tests2m.com,Kle english medium school solapur,Grade 1,lastchance,4/16/20 14:07
911100221133,s2m_test_20134@tests2m.com,sri sri ravisankar vidya mandir,Grade 4,ntfpush,4/16/20 14:08
911100221004,s2m_test_20005@tests2m.com,Army Public School Delhi Cantt,Grade 4,ntfpush,4/16/20 14:08
911100221134,s2m_test_20135@tests2m.com,Kle English medium school,Grade 2,ntfpush,4/16/20 14:10
911100221135,s2m_test_20136@tests2m.com,SSRVM mulund,Grade 1,ntfpush,4/16/20 14:11
911100221136,s2m_test_20137@tests2m.com,Kle,Grade 3,ntfpush,4/16/20 14:11
911100221137,s2m_test_20138@tests2m.com,Bharatiya Vidya Bhavan's Atmakuri Rama Rao School,Grade 2,ntfpush,4/16/20 14:13
911100221138,s2m_test_20139@tests2m.com,N S N Memorial School,Grade 3,ntfpush,4/16/20 14:15
911100221139,s2m_test_20140@tests2m.com,gitanjali devshala,Grade 1,ntfpush,4/16/20 14:18
911100221140,s2m_test_20141@tests2m.com,SSRVM,Grade 1,ntfpush,4/16/20 14:20
911100221141,s2m_test_20142@tests2m.com,Kamala Niketan Montessori School,Grade 4,TEB11SMS,4/16/20 14:20
911100221142,s2m_test_20143@tests2m.com,Kulachi hansraj model school,Grade 4,ntfpush,4/16/20 14:20
911100221143,s2m_test_20144@tests2m.com,Sanskriti The School,Grade 3,ntfpush,4/16/20 14:20
911100221144,s2m_test_20145@tests2m.com,Chinmaya Vidyalaya Virugambakkam,Grade 4,ntfpush,4/16/20 14:20
911100221145,s2m_test_20146@tests2m.com,Kle international school,Grade 4,ntfpush,4/16/20 14:22
911100221146,s2m_test_20147@tests2m.com,"St pauls school, rajkot",Grade 1,ntfpush,4/16/20 14:25
911100221147,s2m_test_20148@tests2m.com,International school Rajouri,Grade 1,ntfpush,4/16/20 14:27
911100221148,s2m_test_20149@tests2m.com,K l e dharwad,Grade 3,ntfpush,4/16/20 14:28
911100221149,s2m_test_20150@tests2m.com,NSN MATRICULATION  HIGHER SECONDARY SCHOOL CHROMEPET,Grade 1,TEB12SMS,4/16/20 14:33
911100221150,s2m_test_20151@tests2m.com,KLE Society (school)Saundatti,Grade 3,TEB12SMS,4/16/20 14:40
911100221065,s2m_test_20066@tests2m.com,MAHATMA  CBSE,Grade 2,TEB12SMS,4/16/20 14:40
911100221151,s2m_test_20152@tests2m.com,KLE Society's School ankali,Grade 4,ntfpush,4/16/20 14:41
911100221152,s2m_test_20153@tests2m.com,NSN Matric Higher secondary school,Grade 1,TEB11SMS,4/16/20 14:46
911100221153,s2m_test_20154@tests2m.com,BDMI,Grade 4,TEB11SMS,4/16/20 14:47
911100221154,s2m_test_20155@tests2m.com,Army primary school,Grade 1,ntfpush,4/16/20 14:55
911100221155,s2m_test_20156@tests2m.com,Kerela public school mango,Grade 2,ntfpush,4/16/20 15:01
911100221156,s2m_test_20157@tests2m.com,Delhi International School,Grade 3,ntfpush,4/16/20 15:03
911100221157,s2m_test_20158@tests2m.com,KNMS,Grade 4,TEB11SMS,4/16/20 15:08
911100221158,s2m_test_20159@tests2m.com,Kamaal niketan Montessori school,Grade 3,TEB11SMS,4/16/20 15:13
911100221159,s2m_test_20160@tests2m.com,KNMS,Grade 4,TEB12SMS,4/16/20 15:15
911100221160,s2m_test_20161@tests2m.com,Manjusri Public school,Grade 2,TEB11SMS,4/16/20 15:16
911100221161,s2m_test_20162@tests2m.com,BDMI,Grade 4,TEB11SMS,4/16/20 15:19
911100221162,s2m_test_20163@tests2m.com,Delhi Public School North Banglore,Grade 3,ntfpush,4/16/20 15:29
911100221163,s2m_test_20164@tests2m.com,DPS,Grade 3,TEB12SMS,4/16/20 15:31
911100221164,s2m_test_20165@tests2m.com,Kerela public school gamharia,Grade 2,ntfpush,4/16/20 16:09
911100221165,s2m_test_20166@tests2m.com,Dps,Grade 4,ntfpush,4/16/20 16:11
911100221166,s2m_test_20167@tests2m.com,Calorx public school,Grade 4,ntfpush,4/16/20 16:14
911100221167,s2m_test_20168@tests2m.com,Elpro international school,Grade 4,TEB12SMS,4/16/20 16:20
911100221168,s2m_test_20169@tests2m.com,N. S. N,Grade 1,TEB11SMS,4/16/20 16:26
911100221169,s2m_test_20170@tests2m.com,DPS PANVEL,Grade 3,TEB12SMS,4/16/20 16:46
911100221170,s2m_test_20171@tests2m.com,NSN Memorial,Grade 2,TEB11SMS,4/16/20 16:47
911100221171,s2m_test_20172@tests2m.com,St. Paul's school Rajkot,Grade 1,ntfpush,4/16/20 16:51
911100221172,s2m_test_20173@tests2m.com,Lalji  Mehrotra lion's school,Grade 3,ntfpush,4/16/20 16:53
911100221173,s2m_test_20174@tests2m.com,DPS Megacity,Grade 2,lastchance,4/16/20 17:07
911100221174,s2m_test_20175@tests2m.com,Kamalanikethan Montessori School,Grade 4,TEB11SMS,4/16/20 17:16
911100221175,s2m_test_20176@tests2m.com,Kamala Niketan,Grade 2,lastchance,4/16/20 17:23
911100221176,s2m_test_20177@tests2m.com,Pollocks Intelli School,Grade 2,ntfpush,4/16/20 17:34
911100221177,s2m_test_20178@tests2m.com,St Paul Rajkot,Grade 4,ntfpush,4/16/20 18:00
911100221178,s2m_test_20179@tests2m.com,The Maple Tree,Grade 4,TEB11SMS,4/16/20 18:28
911100221179,s2m_test_20180@tests2m.com,Donbosco,Grade 1,TEB12SMS,4/16/20 22:37
911100221180,s2m_test_20181@tests2m.com,Harvest International school,Grade 2,ntfpush,4/17/20 1:31
911100221181,s2m_test_20182@tests2m.com,Gbl convent,Grade 4,ntfuiuser,4/17/20 2:33
911100221182,s2m_test_20183@tests2m.com,St Columbus,Grade 4,ntfuiuser,4/17/20 2:33
911100221183,s2m_test_20184@tests2m.com,Guru Gobind Singh Public School,Grade 4,ntfuiuser,4/17/20 2:37
911100221184,s2m_test_20185@tests2m.com,KlE,Grade 4,ntfuiuser,4/17/20 2:38
911100221185,s2m_test_20186@tests2m.com,Chinmaya Vidyalaya,Grade 3,ntfuiuser,4/17/20 2:40
911100221186,s2m_test_20187@tests2m.com,AYUSH DUBEY,Grade 3,ntfuiuser,4/17/20 2:43
911100221187,s2m_test_20188@tests2m.com,Ssrvm,Grade 2,ntfuiuser,4/17/20 3:13
911100221188,s2m_test_20189@tests2m.com,Kle international school belgaum,Grade 2,ntfuiuser,4/17/20 3:13
911100221189,s2m_test_20190@tests2m.com,Uppal Rankers Techno School,Grade 1,ntfuiuser,4/17/20 3:14
911100221190,s2m_test_20191@tests2m.com,Asian Christian high school,Grade 1,ntfuiuser,4/17/20 3:15
911100221191,s2m_test_20192@tests2m.com,KNMS,Grade 4,TEB11SMS,4/17/20 3:21
911100221192,s2m_test_20193@tests2m.com,St Matthew's school,Grade 4,ntfuiuser,4/17/20 3:27
911100221193,s2m_test_20194@tests2m.com,Foundation Academy,Grade 4,ntfuiuser,4/17/20 3:31
911100221194,s2m_test_20195@tests2m.com,Braintree International school.Bongaigaon,Grade 4,TEB11SMS,4/17/20 3:33
911100221195,s2m_test_20196@tests2m.com,clorex public school ghatlodiya,Grade 2,ntfuiuser,4/17/20 3:35
911100221196,s2m_test_20197@tests2m.com,Kerla Public School,Grade 1,ntfuiuser,4/17/20 3:36
911100221193,s2m_test_20194@tests2m.com,Foundation Academy IIT campus Bihta Patna,Grade 4,ntfuiuser,4/17/20 3:40
911100221197,s2m_test_20198@tests2m.com,NSN Memorial School,Grade 4,TEB11SMS,4/17/20 3:43
911100221075,s2m_test_20199@tests2m.com,KAMALA NIKETAN MONTESSORI SCHOOL (CBSE),Grade 4,TEB11SMS,4/17/20 3:44
911100221033,s2m_test_20034@tests2m.com,Kamala niketan Montessori school,Grade 4,TEB12SMS,4/17/20 3:47
911100221193,s2m_test_20194@tests2m.com,Foundation Academy IIT campus Bihta Patna,Grade 4,ntfuiuser,4/17/20 3:48
911100221198,s2m_test_20200@tests2m.com,Krisna pablik scool,Grade 2,ntfuiuser,4/17/20 3:48
911100221147,s2m_test_20148@tests2m.com,International school Rajouri,Grade 1,ntfuiuser,4/17/20 3:52
911100221169,s2m_test_20170@tests2m.com,Delhi public school panvel,Grade 3,TEB12SMS,4/17/20 3:55
911100221199,s2m_test_20201@tests2m.com,"Kerala public  school, kadma, JSR.",Grade 4,ntfuiuser,4/17/20 4:05
911100221180,s2m_test_20181@tests2m.com,Harvest International school,Grade 2,ntfuiuser,4/17/20 4:10
911100221199,s2m_test_20201@tests2m.com,"Kerala public  school, kadma.",Grade 4,ntfuiuser,4/17/20 4:14
911100221200,s2m_test_20202@tests2m.com,Saint Paul,Grade 1,ntfuiuser,4/17/20 4:15
911100221201,s2m_test_20203@tests2m.com,Calorx public school,Grade 2,ntfuiuser,4/17/20 4:16
911100221202,s2m_test_20204@tests2m.com,Gt vidhya mandir,Grade 4,ntfpush,4/17/20 4:31
911100221203,s2m_test_20205@tests2m.com,Indus Valley World School,Grade 4,TEB11SMS,4/17/20 4:35
911100221204,s2m_test_20206@tests2m.com,Techno India,Grade 2,ntfpush,4/17/20 4:40
911100221205,s2m_test_20207@tests2m.com,Lml school,Grade 4,ntfuiuser,4/17/20 4:42
911100221206,s2m_test_20208@tests2m.com,NSN matriculation higher secondary school,Grade 3,TEB11SMS,4/17/20 4:43
911100221207,s2m_test_20209@tests2m.com,Suchitra Academy,Grade 1,TEB12SMS,4/17/20 4:44
911100221208,s2m_test_20210@tests2m.com,Samashti,Grade 4,ntfuiuser,4/17/20 4:51
911100221091,s2m_test_20093@tests2m.com,NSN matriculation higher secondary schooll,Grade 4,TEB11SMS,4/17/20 4:54
911100221209,s2m_test_20211@tests2m.com,The schram academy,Grade 4,ntfuiuser,4/17/20 4:56
911100221210,s2m_test_20212@tests2m.com,Don Bosco school,Grade 2,TEB2ASMS,4/17/20 5:03
911100221211,s2m_test_20213@tests2m.com,Rishit Roy,Grade 3,TEB2ASMS,4/17/20 5:03
911100221212,s2m_test_20214@tests2m.com,Indus Valley World School,Grade 4,TEB2ASMS,4/17/20 5:04
911100221213,s2m_test_20215@tests2m.com,CCA,Grade 2,TEB2ASMS,4/17/20 5:04
911100221214,s2m_test_20216@tests2m.com,N. S. N Matriculation higher sec school,Grade 3,TEB2ASMS,4/17/20 5:04
911100221215,s2m_test_20217@tests2m.com,Swarnit Srivastava,Grade 3,TEB2ASMS,4/17/20 5:04
911100221216,s2m_test_20218@tests2m.com,St.peter's,Grade 3,TEB2ASMS,4/17/20 5:04
911100221217,s2m_test_20219@tests2m.com,Army public school jodhpur,Grade 4,TEB2ASMS,4/17/20 5:05
911100221218,s2m_test_20220@tests2m.com,TSA,Grade 3,ntfuiuser,4/17/20 5:05
911100221219,s2m_test_20221@tests2m.com,Kamala niketan school,Grade 3,TEB2BSMS,4/17/20 5:06
911100221220,s2m_test_20222@tests2m.com,TNA,Grade 2,TEB2ASMS,4/17/20 5:06
911100221221,s2m_test_20223@tests2m.com,Kamala niketan Montessori school,Grade 1,TEB2BSMS,4/17/20 5:06
911100221222,s2m_test_20224@tests2m.com,City Montessori School,Grade 4,TEB2ASMS,4/17/20 5:06
911100221223,s2m_test_20225@tests2m.com,St. Mary's convent school,Grade 2,TEB2ASMS,4/17/20 5:07
911100221224,s2m_test_20226@tests2m.com,Delhi public school North Bangalore,Grade 1,TEB2ASMS,4/17/20 5:08
911100221225,s2m_test_20227@tests2m.com,Fountaihead,Grade 4,TEB2ASMS,4/17/20 5:08
911100221226,s2m_test_20221@tests2m.com,Knms,Grade 4,TEB2BSMS,4/17/20 5:09
911100221227,s2m_test_20228@tests2m.com,NSN memorial,Grade 1,TEB2ASMS,4/17/20 5:10
911100221228,s2m_test_20229@tests2m.com,Mahavir institute of education and research,Grade 3,TEB2ASMS,4/17/20 5:10
911100221227,s2m_test_20228@tests2m.com,NSN memorial,Grade 3,TEB11SMS,4/17/20 5:11
911100221229,s2m_test_20230@tests2m.com,NSN Memorial Senior Secondary School,Grade 3,TEB2BSMS,4/17/20 5:12
911100221230,s2m_test_20231@tests2m.com,MHANT KANNADA HIGH SCHOOL,Grade 1,TEB2ASMS,4/17/20 5:12
911100221231,s2m_test_20232@tests2m.com,Kamalanikethan montessori school,Grade 4,TEB2ASMS,4/17/20 5:12
