Batch,Enrolment Type,Grade, School,Phone,Parent Email,Booked Time,Attendance
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,SSRVM Mulund,911100222488,s2m_test_21503@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 2,fREADom,911100222489,s2m_test_21504@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,Canadian International School,911100222490,s2m_test_21505@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,Kps gamahariya,911100222491,s2m_test_21506@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,SRI SRI RAVISHANKAR VIDYA MANDIR,911100222492,s2m_test_21507@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,"Delhi public school , Bangalore",911100222493,s2m_test_21508@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,Shree Ram welfare society High school,911100222494,s2m_test_21509@tests2m.com,16-04-2020 18:15:00,
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,Ocean,911100222495,s2m_test_21510@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,amrit vidhalaya  aata  malav,911100222496,s2m_test_21511@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,"Delhi Public School, Howrah",911100222497,s2m_test_21512@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,Suchithra academy,911100222498,s2m_test_21513@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,Royale Concorde International School,911100222499,s2m_test_21514@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,Delhi public school South Bangalore,911100222500,s2m_test_21515@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,Shri shri ravishankar vista mandir surat,911100222501,s2m_test_21516@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 3,fREADom,911100222489,s2m_test_21504@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,St. Peter's school,911100222502,s2m_test_21517@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,St.Columbaâ€™s,911100222503,s2m_test_21518@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,Jain english medium school,911100222504,s2m_test_21519@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,DPS MEGACITY,911100222505,s2m_test_21520@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,Noida International Public School,911100222506,s2m_test_21521@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,DPS HOWRAH,911100222507,s2m_test_21522@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,893498,911100222508,s2m_test_21523@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,Saupins school mohali,911100222509,s2m_test_21524@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,Kerala public school Kadma,911100222510,s2m_test_21525@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 1,Nsn matriculation higher sec school,911100222511,s2m_test_21526@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,Kerela public school gamharia,911100222512,s2m_test_20165@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,Hamdard public school,911100222513,s2m_test_21527@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,Don Bosco School,911100222514,s2m_test_21528@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,Kle school,911100222515,s2m_test_21529@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Kerala public school mango,911100222516,s2m_test_21530@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,Seth Anandram Jaipuria School,911100222517,s2m_test_21531@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 1,2 [II] 04:00pm - Thursday, April 16, 2020",Trial,Grade 2,Fountain head the global school,911100222518,s2m_test_21532@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,K L E,911100222519,s2m_test_21533@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,KERALA PUBLIC SCHOOL GAMHARIA,911100222520,s2m_test_21534@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,Reliance foundation school,911100222521,s2m_test_21535@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 3,SKV VIDHAASHRAM SENIOR SECONDARY SCHOOL,911100222522,s2m_test_21536@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 3,Kle school Manjunath Nagar hubliubli,911100221095,s2m_test_20097@tests2m.com,16-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,Suchitra academy,911100222523,s2m_test_21537@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,Ambience,911100222524,s2m_test_21538@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,Svis,911100222525,s2m_test_21491@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,"Don Bosco School, Siliguri",911100222526,s2m_test_21539@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,Maharaja agarsen public school,911100222527,s2m_test_21540@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,Sri Aurobindo International school,911100222528,s2m_test_21541@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,Dps,911100222529,s2m_test_21542@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Thursday, April 16, 2020",Trial,Grade 4,Gitanjali devshala,911100222530,s2m_test_21543@tests2m.com,16-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Ingrahm Institute English medium school,911100222531,s2m_test_21544@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,GT aloha vidhya mandir,911100222532,s2m_test_21545@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,"St.paul school ,rajkot",911100222533,s2m_test_21546@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,DSE,911100222534,s2m_test_21547@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,Kid's campus,911100222535,s2m_test_21548@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,Focus high school,911100222536,s2m_test_21549@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,S.R.S school. munnoli. soundhathi. belgaum,911100222537,s2m_test_21550@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Saint Paul School,911100222538,s2m_test_21551@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,Velammal new gen,911100222539,s2m_test_21552@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,Saint Paul,911100222540,s2m_test_21553@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,Vidya vikas Academy Margao Goa,911100222541,s2m_test_21554@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,NTSSS,911100222542,s2m_test_21555@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,St. Peters,911100222543,s2m_test_21556@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,K L E  school Nipani,911100222544,s2m_test_21557@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,N c s,911100222545,s2m_test_21557@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,Delhi public school North Bangalore,911100221224,s2m_test_20226@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,Sri Sankara senior secondary school,911100222546,s2m_test_21558@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Gt vidhya mandir,911100222547,s2m_test_21559@tests2m.com,16-04-2020 18:15:00,Cancelled
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,Shreya Kandpal,911100222548,s2m_test_21560@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 2,Ingrahm Institute English medium school,911100222549,s2m_test_21561@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,School of India ,911100222550,s2m_test_21562@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,Kamala niketan,911100221040,s2m_test_20041@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 2,fREADom,911100222489,s2m_test_21504@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Saint Paul 's school,911100222551,s2m_test_21563@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Dps,911100222552,s2m_test_21564@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,Saint Paul,911100222553,s2m_test_21565@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,Noida international publick school,911100222554,s2m_test_21566@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,St Paul's Rajkot,911100222555,s2m_test_21567@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,Kerela public school mango,911100221023,s2m_test_20024@tests2m.com,16-04-2020 18:15:00,Cancelled
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Hamdard public school,911100222556,s2m_test_21568@tests2m.com,16-04-2020 18:15:00,Cancelled
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 1,Kamala Niketan Montessori School  (CBSE),911100222557,s2m_test_21569@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,B.D.M. International,911100222558,s2m_test_21570@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,Don bosco,911100222559,s2m_test_21571@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,KLE school rayapur,911100222560,s2m_test_21572@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,SSRVM Borivali East,911100222561,s2m_test_21573@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,Kle,911100221136,s2m_test_21574@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,P.S.Senior Secondary School,911100222562,s2m_test_21575@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 3,KLE Manjunath Nagar Hubballi,911100222563,s2m_test_21576@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,The Shriram Millennium School,911100222564,s2m_test_21577@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,KLE ENGLISH MEDIUM,911100222565,s2m_test_21578@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,K L E  school Nipani,911100222544,s2m_test_21557@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 2,Sri Sri Ravishankar Vidya Mandir,911100222566,s2m_test_21579@tests2m.com,16-04-2020 18:15:00,Cancelled
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 2,Kamala Niketan Montessori School,911100221032,s2m_test_20033@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 4,"K,L,E Haveri",911100221001,s2m_test_20002@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,Army Public School Delhi Cantt,911100222567,s2m_test_21580@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 4,Sree Veda,911100222568,s2m_test_21581@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,The galaxy school Wadi,911100222569,s2m_test_21582@tests2m.com,16-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Trial,Grade 1,"Sri Sri Ravishankar Vidya Mandir, Mulund",911100222570,s2m_test_21583@tests2m.com,16-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 06:15pm - Thursday, April 16, 2020",Duplicate - Trial,Grade 2,Amrit vidyalaya,911100222571,s2m_test_21584@tests2m.com,16-04-2020 18:15:00,Absent
